algoritmo,tiempo,memoria
MedicionBuscarLinkedList,9372455834,937264
MedicionBuscarArrayList,4648371083,937274
MedicionBuscarTrie,7012583,10450571
MedicionBuscarHashMap,2503791,1328896
MedicionBuscarTreeMap,14998916,1328898
algoritmo,tiempo,memoria
MedicionBuscarLinkedList,8313379625,937264
MedicionBuscarArrayList,4282666042,937274
MedicionBuscarTrie,6669542,10450571
MedicionBuscarHashMap,2427000,1328896
MedicionBuscarTreeMap,14492083,1328898
algoritmo,tiempo,memoria
MedicionBuscarLinkedList,8,0
MedicionBuscarArrayList,4,0
MedicionBuscarTrie,0,10
MedicionBuscarHashMap,0,1
MedicionBuscarTreeMap,0,1
algoritmo,tiempo,memoria
MedicionBuscarLinkedList,8460201500,937264
MedicionBuscarArrayList,4595156000,937274
MedicionBuscarTrie,6681209,10450571
MedicionBuscarHashMap,2485458,1328896
MedicionBuscarTreeMap,14393291,1328898
algoritmo,tiempo,memoria
MedicionBuscarLinkedList,8633495042,937264
MedicionBuscarArrayList,4578918334,937274
MedicionBuscarTrie,6712791,10450571
MedicionBuscarHashMap,2416042,1328896
MedicionBuscarTreeMap,15148125,1328898
algoritmo,tiempo,memoria
MedicionBuscarLinkedList,8285434583,937264
MedicionBuscarArrayList,4526156750,937274
MedicionBuscarTrie,6714125,10450571
MedicionBuscarHashMap,2469542,1328896
MedicionBuscarTreeMap,14886500,1328898
algoritmo,tiempo,memoria
MedicionBuscarLinkedList,8880489958,937264
MedicionBuscarArrayList,4613761166,937274
MedicionBuscarTrie,6782083,10450571
MedicionBuscarHashMap,2406708,1328896
MedicionBuscarTreeMap,15207125,1328898
